cid,text,time,author,channelId,videoId
UgzJnX7gdpn_u_QO4yJ4AaABAg.AFo_-9yZY4rAFzpNENnGcS,She meant the tour was mini since it was short,9 days ago (edited),@emelierivera4242,UCAnBPhTPse5wVS3ptoyb-tw,jWRWLBkQUQE
UgzJnX7gdpn_u_QO4yJ4AaABAg.AFo_-9yZY4rAG7fKQosEf_,Is actually mini,5 days ago,@its.nyah.48,UCsAwT1xJEmSc1LdmCXyAO8Q,jWRWLBkQUQE
UgzJnX7gdpn_u_QO4yJ4AaABAg.AFo_-9yZY4rAG9r26zp7Fs,Her apartment is really mini and even the height difference in ceiling and floor is very less,4 days ago,@Pronaldos,UCpqa26iSXHLwxtaNhcmha9A,jWRWLBkQUQE
UgyUebKjHZV7S8Pjpvx4AaABAg.AFcq5lcCT-_AFnRsOhtQMp,lol ty ☠️,13 days ago,@caffeinejunkie613,UCQ21XH-IGGmX2kmESy3ys5g,jWRWLBkQUQE
UgyUebKjHZV7S8Pjpvx4AaABAg.AFcq5lcCT-_AFr03urV7kU,"Also bdsm collection, I was there",12 days ago,@udontevenwannaknowbruv,UCvXo7U-EnMljeSrXDf8iooA,jWRWLBkQUQE
UgyUebKjHZV7S8Pjpvx4AaABAg.AFcq5lcCT-_AFrKCDJs1mK,"lol tysm, i was dying of curiosity..",12 days ago,@aqua-o9w,UC4zfdxUuoum_ndYoJpf1UOg,jWRWLBkQUQE
UgyUebKjHZV7S8Pjpvx4AaABAg.AFcq5lcCT-_AFtbR5kBp7I,​ @udontevenwannaknowbruv  I believe in you,11 days ago,@AstaeciaDawn,UCpxP-OaSbq5cZfKGO0AZryw,jWRWLBkQUQE
UgyUebKjHZV7S8Pjpvx4AaABAg.AFcq5lcCT-_AFvw7mQF_WS,her bf w her,10 days ago,@hope7069,UCCFkFkcrLzG-j-yMnjxmlTA,jWRWLBkQUQE
UgyUebKjHZV7S8Pjpvx4AaABAg.AFcq5lcCT-_AG6PmBBaBQw,So where’s the bedroom??,6 days ago,@mr.potato2399,UCQXdEXytl-ST_W8Vob37Cpg,jWRWLBkQUQE
Ugy7FueMqb1dAx-o4vJ4AaABAg.AFNHXbCrQVjAFNUndASyxu,LMAO,3 weeks ago,@Avaxsparkl3ss,UCT6S1UHZeQ6jvJcLpoNVsbA,jWRWLBkQUQE
Ugy7FueMqb1dAx-o4vJ4AaABAg.AFNHXbCrQVjAFPQpZagi4A,No fangTokyo  was mentioned 😅😅,3 weeks ago,@vatulmathangi3920,UC6ySMkwNyf98TDbsm95X6OQ,jWRWLBkQUQE
Ugy7FueMqb1dAx-o4vJ4AaABAg.AFNHXbCrQVjAFVdaEcDIE-,That caught me off guard 😭😭😭,3 weeks ago,@Ambrosia2012,UCXd_XxVDrAfvPO7bsRC7HYQ,jWRWLBkQUQE
Ugy7FueMqb1dAx-o4vJ4AaABAg.AFNHXbCrQVjAFVdmMbHN_J,The 🙂👉 at the end too 😭😭😭,3 weeks ago (edited),@Ambrosia2012,UCXd_XxVDrAfvPO7bsRC7HYQ,jWRWLBkQUQE
Ugy7FueMqb1dAx-o4vJ4AaABAg.AFNHXbCrQVjAG62jV4hbA9,Sing a song❤❤❤😊,6 days ago,@instavideo7760,UCZHyjOSzBbRQ4MSSGXkF2xw,jWRWLBkQUQE
Ugy7FueMqb1dAx-o4vJ4AaABAg.AFNHXbCrQVjAGHiTotRCqy,😂,1 day ago,@monicaelf8119,UCGY8Vgo9EbtPBCllwgDoZ2w,jWRWLBkQUQE
UgwGT7vFXBdnipxemFB4AaABAg.AFN6D1nWvBhAFN6eO1ZvbR,"Careful, this is a bot’s comment, avoid liking",3 weeks ago,@SniQ3,UCMgNCAUTIOzjsIsVvb0hsvw,jWRWLBkQUQE
UgwGT7vFXBdnipxemFB4AaABAg.AFN6D1nWvBhAFdyFnwgKiV,@SniQ3yeah it’s a bot but one question what happens when I like it,2 weeks ago,@REEMODELULU,UC4Teyb3gTUp-pPnZ9E-3rng,jWRWLBkQUQE
UgwGT7vFXBdnipxemFB4AaABAg.AFN6D1nWvBhAFdyZpWWKoK,"@ nothing, apart from the fact that it makes the comment look less like a bot",2 weeks ago,@SniQ3,UCMgNCAUTIOzjsIsVvb0hsvw,jWRWLBkQUQE
UgxWeBaWLdImqQXZzw94AaABAg,"Its so cute , however , why is your main bedroom small and your work bedroom big with more natural light ? I think it would be much better vice versa ?",3 weeks ago,@chhayalgambhir3215,UCy-5cq5pXXWNoflL1bEfnjA,jWRWLBkQUQE
UgwwQPPvNW4yKU6paiF4AaABAg,شقتهم الي كاتبة انها صغيرة اكبر من بيتنا 🗿💔,10 days ago,@Layan-x7M,UClYV4w8j4WNYzqoXsY24oQA,jWRWLBkQUQE
Ugx5uVeF0hE1L674TMt4AaABAg,It’s a cute little house😊,11 days ago,@KCdramalovers-e7j,UCuhYlFOhILtI0e6qkf5iMug,jWRWLBkQUQE
UgxZfjVr1nmrwPHQPF94AaABAg,"wow i didnt know that you also played the piano, and also placed it in the bedroom! so cool :D love a piano bedroom hehe. mine is a white digital piano yamaha p525 that happens to be offered in white, with superb sound quality, keys texture and it helps to brighten the room and make it feel more spacious. you could test try the pianos in store before purchasing one , it is super impt if you value sound & quality while playing :)",3 weeks ago (edited),@freshbreadloaves,UCBcCwdKtIwvmZRL6WODIRaQ,jWRWLBkQUQE
UgygzGcWXqLqscXuVvt4AaABAg,✨🎀Its so cute and cozy🎀✨,2 weeks ago,@akira-446,UCSpSr_cDtpq60pB-s8yOruw,jWRWLBkQUQE
UgwzlmdXTSHWQ0Y_6u54AaABAg,Very beautiful house 🏠.  She tossed us out at the end 😢😍 👌 ❤️ 💕 ♥️ 🏠.,11 days ago (edited),@alohatvn,UCCtNqdhQqSV-ldU_Bin8i3Q,jWRWLBkQUQE
UgzDQSVZqC4SwePqHR94AaABAg,The caption got me 😂😂😂,2 weeks ago,@noorussaba1488,UCFFYEvfcM1Byxd3dt6b2Z8w,jWRWLBkQUQE
UgytWdWwW43ZuVQO-ZB4AaABAg,Literally me after cleaning the house 😂,4 days ago,@hashmitham3683,UCWx2q92EGPlV0tWbFZ4utKQ,jWRWLBkQUQE
Ugx3nwXRa8OXwvWL1oB4AaABAg,What a cute video,9 days ago,@At_Sweetney,UCAb5mlr43P1SzzLVEReBeLg,jWRWLBkQUQE
UgyGipkZNV79z1DAiH54AaABAg,Not me waiting for boys only room 😂😅,3 weeks ago,@Kaylee20009,UC9RgrVn9Q-YA4JWwtSfA75g,jWRWLBkQUQE
UgzIPEJYX16RYWbKgw54AaABAg,New subscriber ❤❤❤❤❤❤❤❤,11 days ago,@alohatvn,UCCtNqdhQqSV-ldU_Bin8i3Q,jWRWLBkQUQE
Ugxh7FkFYUbqncTHzOt4AaABAg,So pretty ❤❤,13 days ago,@smiletv1618,UC3x93QQbenU7KCoNJs-SYwA,jWRWLBkQUQE
UgzSqtQ0XcKbCn65o0l4AaABAg,Never seen such house tour gurlll cutee😂😂,3 weeks ago,@SandhYaaa-bp7yj,UCyaLGs_UIpNWD0URWRukmBg,jWRWLBkQUQE
UgyLCD4lH6eyfic03sF4AaABAg,"so nice and quick tour with cute music...
perfect .....",4 days ago,@Paintdraw-0001,UCQvj_eNM6-8iyhnHEed52Jw,jWRWLBkQUQE
Ugy2tPCBgcZJpu_hvyB4AaABAg,that's a mini 😅😅😅😅 it fits my whole house 🏡,12 days ago,@aishajamil-yx2db,UCL_CcIc6pWB9sKbyIjTwYQQ,jWRWLBkQUQE
UgwGZ5V0qqphi1bWF2B4AaABAg,MINI KOREAN DEPARTMENT? Thats biggest than My house,11 days ago,@PaulaSilvaCasas,UC8SFRuP8SZI4JVy9bDOe5BQ,jWRWLBkQUQE
UgypNFf3mholYWgrbid4AaABAg,MY DREAM HOUSE IN MY DREAM COUNTRY,9 days ago,@Kpop_luv111,UCPoVNyAqVcE3TEOTTUAsKXw,jWRWLBkQUQE
Ugzwf66SvvDx8Znq9iN4AaABAg,بيتي المستقبلي,3 days ago,@blink_stay294,UCnUGFynPnav7cWKGLyWsftw,jWRWLBkQUQE
UgxqGVuGrPm_8xYYOKt4AaABAg,Reminds me of the girl who advertises apartments in Japan 😂,5 days ago,@Beenavides,UCneV8j47zdMidws7ijXkXCQ,jWRWLBkQUQE
Ugy0I2mluGboKfv0wE54AaABAg,The kitchen is my favorite❤,2 weeks ago,@nam-raaaa,UC3svfET7KkJD1MRy4GqaqWw,jWRWLBkQUQE
UgxWeBaWLdImqQXZzw94AaABAg.AFN91XmZHlVAF_HmIc2W4V,I thought that too.,2 weeks ago,@strawbunny123,UCajhuww3BHf-cdKmnwsrAzA,jWRWLBkQUQE
UgxWnKDKCj5FXXMsRt54AaABAg,Kinda reminds me of NJZ Minji 😂,9 days ago,@hotsauce0097,UCW5R_eichqKoA97CIr8QYaw,jWRWLBkQUQE
Ugwj2_rMqH61vn6LmM94AaABAg,"""Now get out of my house""
Was personal😂😂",12 days ago,@ferozalam4772,UC25NS-O57ygk2YQhA2rkvuQ,jWRWLBkQUQE
UgwectqkrfRyoWDiTAR4AaABAg,Super clean! 🫧 🧼 Loved the pop of color in the bathroom. Would be nice to add some artwork or photos on the walls but i understand if its a rental,2 weeks ago,@pixierainbow7,UCeqyCkWxVDseQ8HKOES2EqQ,jWRWLBkQUQE
UgwexF9lYcU1YQKM8dd4AaABAg,The end got me💀,2 weeks ago,@tommisaari1572,UCqU5yVKknIlfwq6ZFEDFSwA,jWRWLBkQUQE
UgxZSckEEQ7aRE6ke-J4AaABAg,I really like the kitchen,10 days ago,@RabeetMalik-k5u,UCoiUvVao4bffHiRYjPrrqOQ,jWRWLBkQUQE
UgxLeYFu5UGUuy8xORR4AaABAg,Jennie's looking so cute ❤❤❤,5 days ago,@Mishikas_World,UC_qRYwwXx6nm9zvHLpLnVyA,jWRWLBkQUQE
Ugy0LS3H59XudIU7AoZ4AaABAg,Perfection👌✨,1 day ago,@monicaelf8119,UCGY8Vgo9EbtPBCllwgDoZ2w,jWRWLBkQUQE
UgxFJnV-NMjtoamJmGZ4AaABAg,meanwhile mumbai waale- hamare liye yehi bht bada hai😂😭,12 days ago,@aneetkumar1006,UC6Enir_cMwysXxU8r47Z3Ww,jWRWLBkQUQE
Ugywg3K-NbTyxBDnD-t4AaABAg,Mini? That's huge house!💀❤,12 days ago (edited),@sonalichavan3223,UC4aGGNkE9Kga79cCyt2r83Q,jWRWLBkQUQE
UgwxTpHCpgT8TuSzkg94AaABAg,The fact she this a mini apartment is crazy 🤣🤣🤣🤣🤣🤣,10 days ago,@sa___9431,UChgFYcnoMPA70KGU4zCPnAg,jWRWLBkQUQE
Ugyz9uRNwgmrAP7t0vB4AaABAg,اهم شي الشرح التوضيحي😂😂😂,12 days ago,@Ligires9999,UCxqWpwUtF-8mdd0Q34TaHWg,jWRWLBkQUQE
Ugy98PIXmmYZbbLfJrp4AaABAg,I wanna now what's inside the secret room😭😭,10 days ago,@nuurhafizah6603,UCWpg5JwPxZoAH2TlumpugLg,jWRWLBkQUQE
UgyBAs4nM7NHN9gLcUl4AaABAg,"She has a closet room so I’m wondering if the bedroom or even girls room just doesn’t have a closet. If there’s no closet that’s a great use of space, but if there was a closet I would have personally used the clothing room as a pantry/ storage room. Absolutely gorgeous apartment though and definitely not mini!",8 days ago,@lifeaschronicallyingrid,UC0rc1CGEWV3a_4VAJDRo8yQ,jWRWLBkQUQE
Ugxdm45c3Wx-AX41Xad4AaABAg,Bro doesn't need romance bro just needs a jacket,9 days ago,@Confli-x2d,UC7xaRliOeUwslViB6mBzaFA,jWRWLBkQUQE
UgxDl7OZN3jBgw19zpZ4AaABAg,It's cute! Love you guys.,3 weeks ago,@Klara_Monster,UCmaOC0es1yYoG7x8PyuqJEg,jWRWLBkQUQE
