cid,text,time,author,channelId,videoId
UgzC8652j7tfrFlYKkZ4AaABAg.ACVtGgGYVQ8ACVteFt1sxq,After I raised up to 525k trading with her I bought a new House and a car here in the states 🇺🇸🇺🇸 also paid for my son's surgery (Oscar). Glory to God.,3 months ago,@Baylen-s2p,UC7_U-ZFnxlLzeHfILu4ycsA,LX7VtxMCAVM
UgzC8652j7tfrFlYKkZ4AaABAg.ACVtGgGYVQ8ACVu6aGBOI3,I've always wanted to be involved for a long time but the volatility in the price has been very confusing to me. Although I have watched a lot of YouTube videos about it but I still find it hard to understand.,3 months ago,@Matilda-r3e,UCEWc-j4bMk4PxXKfT6t6qiw,LX7VtxMCAVM
UgzC8652j7tfrFlYKkZ4AaABAg.ACVtGgGYVQ8ACVu8lKDfZt,Please can I reach out to her in anyway?🙏🙏🙏,3 months ago,@Matilda-r3e,UCEWc-j4bMk4PxXKfT6t6qiw,LX7VtxMCAVM
UgzC8652j7tfrFlYKkZ4AaABAg.ACVtGgGYVQ8ACVuGh0IK8y,okay I will leave her info below the comment 👇👇,3 months ago,@Baylen-s2p,UC7_U-ZFnxlLzeHfILu4ycsA,LX7VtxMCAVM
UgzC8652j7tfrFlYKkZ4AaABAg.ACVtGgGYVQ8ACVuHtU-fRz,+1,3 months ago,@Baylen-s2p,UC7_U-ZFnxlLzeHfILu4ycsA,LX7VtxMCAVM
UgzC8652j7tfrFlYKkZ4AaABAg.ACVtGgGYVQ8ACVuJmscJqY,718,3 months ago,@Baylen-s2p,UC7_U-ZFnxlLzeHfILu4ycsA,LX7VtxMCAVM
UgzC8652j7tfrFlYKkZ4AaABAg.ACVtGgGYVQ8ACVuL68jL21,914,3 months ago,@Baylen-s2p,UC7_U-ZFnxlLzeHfILu4ycsA,LX7VtxMCAVM
UgzC8652j7tfrFlYKkZ4AaABAg.ACVtGgGYVQ8ACVuMl5pVaP,1076,3 months ago,@Baylen-s2p,UC7_U-ZFnxlLzeHfILu4ycsA,LX7VtxMCAVM
UgzC8652j7tfrFlYKkZ4AaABAg.ACVtGgGYVQ8ACVuQH_aAkD,That's her what'sapk..🇺🇲🇺🇲,3 months ago,@Baylen-s2p,UC7_U-ZFnxlLzeHfILu4ycsA,LX7VtxMCAVM
UgzC8652j7tfrFlYKkZ4AaABAg.ACVtGgGYVQ8ACVuSsOQXxw,"always active she will direct you properly, definitely",3 months ago,@Baylen-s2p,UC7_U-ZFnxlLzeHfILu4ycsA,LX7VtxMCAVM
