cid,text,time,author,channelId,videoId
UgzAQafAu2WHQGoObzF4AaABAg,that stealth mode track commin in early was diabolical 🔥🔥🔥 get straight to bangers . Fire set,3 weeks ago,@RiiicoSupreme,UCmL3ES-y8oiTTnEMWQK0j2w,JOksXpBtOUc
Ugx7BMqgrAScMXM0bYh4AaABAg,good feeling with this groovy smooth mix  ! thanks !!,3 weeks ago,@stevielakhoua5350,UCwFMZkABNZTalkfMc5hKpWw,JOksXpBtOUc
UgyBj2HW-wRCrANWqe94AaABAg,I am obsessed with the set 🤤,3 weeks ago,@begumozyol,UCubvvvCw2BNbrsEw_cgldgg,JOksXpBtOUc
UgyHZX6y8Zh5XsACZqR4AaABAg,29:23 total vibe ❤,8 days ago,@bluefrag3868,UCoxR9IQw8K2aLoAaL2-7OSA,JOksXpBtOUc
UgxEAABd0Dub8ggTbGl4AaABAg,This is perfect for a chill work sesh or writing,6 days ago,@karanhanda3918,UC_YB1M6gsIBnr8Qzg-zHswA,JOksXpBtOUc
UgywgG9Om1xWIDJ4SWJ4AaABAg,Much love from Brazil,11 days ago,@davicarneiro84,UCvABo8qBg6mp9YHUG0PA2lA,JOksXpBtOUc
UgyVIaXQVsY0hkOGIaJ4AaABAg,What an amazing set. So different than the usual crap out here. Thank you for this,4 days ago,@hyperlizard,UCU477m-KZM3FXOM0Gg26E_Q,JOksXpBtOUc
UgwBNwgt7Nza1v0FkU94AaABAg,i’m vibing with how much she’s vibing,11 days ago,@murilooliveira4765,UC738e8luteO7jlH6s8qh-Dg,JOksXpBtOUc
UgwiE1pzEimFvdRdM_l4AaABAg,"Finally I found something nice with good vibes and happy mood, Gracias! :)",4 days ago,@donPixelado,UCjVX_3vxrjdK-S4_hiicsng,JOksXpBtOUc
Ugw7eZ8W1Mo-tii11cV4AaABAg,oooo I really like her!!,2 weeks ago,@ms.tinygiant,UClCNTta9hOc1qPzdm7xsibg,JOksXpBtOUc
Ugz_i1CFL0MD3Z4QAAV4AaABAg,"Enjoyed this from start to finish, well done!",2 days ago,@mattcole3067,UCyvBd9Bj9p2rwS6O_SCPwag,JOksXpBtOUc
Ugwq8YL1X-x920_zV914AaABAg,great mixing skills! smooooooth,3 weeks ago,@jiem15,UCK6c0zej9pfKau6Qo294dYw,JOksXpBtOUc
UgwO2Yx9HomoSc8WH_J4AaABAg,Insaneee tracklist!,3 weeks ago,@peeeotwalawei,UCftRiXjiRyUHfIM8HWUp5-g,JOksXpBtOUc
UgzvnwRUUrY_kN2TKbB4AaABAg,Fire mix!,4 days ago,@kwakuduahtv,UCKlY-lEsu8vYfU67SMbD8nA,JOksXpBtOUc
Ugxw8UOSJcKploOLYaV4AaABAg,loved this one!!!,11 days ago,@babyy_flower,UCW6x4RXyBFvQpWkMf7Yt1AQ,JOksXpBtOUc
UgwMlZyTVdOvojC07fl4AaABAg,Loved it,12 days ago,@laurelsudeep,UCIsyWBI4tbtFTJ9c0m6g74g,JOksXpBtOUc
UgxGzviqNCF-zIzNvoR4AaABAg,"I'd drink so much coffee, just chillin with the viiiiibe",12 days ago,@marcandrewhoffman,UC4LfPmFDb_Q0iGN4Pi-weVA,JOksXpBtOUc
UgxiiZjrOvPLAieVKZh4AaABAg,Smooth,2 days ago,@nithinravi4401,UCbD8akFpSyy95W4U5Qohsiw,JOksXpBtOUc
Ugwrz4lCQEA8Gv4Bjjh4AaABAg,"2nd day listening to this set. Impressive selection, smooth transitions, scratching is subdued and clean. Subscrribed before looking at what else is in the channel.  Keep ‘em coming.",2 weeks ago,@PhillipMarquez,UCDGxq9suvWRmG07baXxS71w,JOksXpBtOUc
Ugy1Sa3gKYghhyY6cp54AaABAg,Coming from North Caroline we appreciate your J Cole picks. All love.,4 days ago,@andrewdawley454,UCW7PiuyuOpULbgkS5MAoF7w,JOksXpBtOUc
UgzAQafAu2WHQGoObzF4AaABAg.AEpL7cPXBn1AEpOyqpvp9G, @RiiicoSupreme  bless ya 🙏🏼,3 weeks ago,@andfriendsradio,UCtz9yx2fp7f7StXeuXmQJEg,JOksXpBtOUc
