cid,text,time,author,channelId,videoId
UgxtXxIEywF5W1kw6BV4AaABAg.A7lmOd7mLSHA7lmWB5ftDr,I was like oh god please 😢😅😂,7 months ago,@Kalpani-bw2kz,UCWW3FAjoSOaV0d51YWPNCTQ,dMzBo6LT3bM
UgxtXxIEywF5W1kw6BV4AaABAg.A7lmOd7mLSHA7lmhZK4i4c,식겁했어요. 해물찜보고 쿠팡에서 모듬 해물이랑 냉동 새우 주문 중이였는데..🎃,7 months ago,@AnnesDaily,UCG97gt3sI9y6pfwJkZIMVtw,dMzBo6LT3bM
UgxtXxIEywF5W1kw6BV4AaABAg.A7lmOd7mLSHA7lmup0cQat,Tq madam  for you that you are working late night too ❤,7 months ago,@Harshitha-or2tg,UCJPNsATM5DWrvaUm8ohAOdw,dMzBo6LT3bM
UgxtXxIEywF5W1kw6BV4AaABAg.A7lmOd7mLSHA7ofJEbpPyJ,I love your content ☺️,7 months ago,@avanataliamckeefery,UChwGpaENzoTOp5Xhk7E2ahA,dMzBo6LT3bM
UgxtXxIEywF5W1kw6BV4AaABAg.A7lmOd7mLSHADRTrENXgB1,안연 하새요..❤❤,2 months ago,@PiyumiNelum,UCAFXYd4UK4yDQAl2sGDHLMg,dMzBo6LT3bM
UgxtXxIEywF5W1kw6BV4AaABAg.A7lmOd7mLSHAFVrFXcfQ-F,so nice ❤❤❤❤❤❤❤❤🥰🥰🥰🥰🥰🥰💖💖💖💖💖,3 weeks ago,@NajouaEl-xm6es,UCAtRdy3PiTIy1dypOHdltoA,dMzBo6LT3bM
UgxtXxIEywF5W1kw6BV4AaABAg.A7lmOd7mLSHAFhQo6_YEE2,Your video are nice so good ❤❤❤❤😊😊😊,2 weeks ago,@LoojiLee,UCqtwyfI73ZNclwQjwm01trg,dMzBo6LT3bM
Ugwm81pvtSPvJkg_K-54AaABAg.A7lncBrLPMrA7loBE_l7v3,"ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 밥먹는데 자꾸 말걸어요ㅠㅠ,,,,,😭",7 months ago,@jhyun_u,UCyG7zAV_2JlPnxhwDxZN6sA,dMzBo6LT3bM
Ugwm81pvtSPvJkg_K-54AaABAg.A7lncBrLPMrA7mlbTs7h75,​ @jhyun_u  밥먹을때 말걸어주는게 행복한 겁니다 ㅋㅋ 제친구부부는 결혼한지 겨우 몇년째인데 대화단절 부부가 되어버렸다능,7 months ago,@SpoiledKAT23,UC9KtUm0x-CjD51n3912j8bA,dMzBo6LT3bM
Ugwm81pvtSPvJkg_K-54AaABAg.A7lncBrLPMrA7n0tgJDHyC, @SpoiledKAT23  그렇군용😊♥️대화 자주 나눠야겠어요😊😊!!!,7 months ago,@jhyun_u,UCyG7zAV_2JlPnxhwDxZN6sA,dMzBo6LT3bM
Ugwm81pvtSPvJkg_K-54AaABAg.A7lncBrLPMrA7nJnw-81EK,​ @jhyun_u 앜ㅋㅋㅋㅋㅋ 두분 다 너무 귀여워요ㅠㅠ,7 months ago,@hama_come_out,UCbi-bUfJ-81XOCbmJuwtATw,dMzBo6LT3bM
Ugwm81pvtSPvJkg_K-54AaABAg.A7lncBrLPMrA7oPeYtnoVA,⁠,7 months ago,@divyasheela976,UCd69gvhox7nTBmLreiWypUA,dMzBo6LT3bM
Ugwm81pvtSPvJkg_K-54AaABAg.A7lncBrLPMrAEFBfYHHG7M,Emang tidak makan nasi ya?,1 month ago,@khoriahria1349,UCXXKjrJqHK4ZBJapeuLElnA,dMzBo6LT3bM
